L_HUNDRED,STNAME,SEG_ID,CustCount,LAT,LNG
800,N 20TH ST,421612,6,39.97107935044435,-75.16935168108569
2000,OGDEN ST,421607,7,39.97082280157199,-75.1700552238615
800,CORINTHIAN AVE,421620,6,39.971240870430776,-75.17061852810608
2000,POPLAR ST,421577,11,39.97149742275286,-75.16991498312834
2000,POPLAR ST,421576,2,39.971619449636556,-75.17093677272467
800,N WOODSTOCK ST,420237,18,39.97101539104102,-75.17145792495363
800,N WOODSTOCK ST,420269,18,39.96985630526552,-75.17170985227042
800,N CAPITOL ST,420276,13,39.96971257567482,-75.17026418174933
2000,PARRISH ST,421628,5,39.97022991930557,-75.16985111566007
800,N 20TH ST,421613,5,39.970467755212574,-75.16948276130549
800,N 20TH ST,420278,13,39.96964123406584,-75.16965893195157
800,N OPAL ST,421609,1,39.970752974470116,-75.16904186662205
1900,PARRISH ST,421630,1,39.97011764453256,-75.16897091285622
800,N 19TH ST,421598,1,39.969436628535334,-75.16808793146224
800,N 19TH ST,421597,8,39.97049875244343,-75.16784554323289
800,CAMERON ST,421507,5,39.96882442891417,-75.1665698387706
800,N UBER ST,420280,8,39.96954546077987,-75.16887190141537
800,CORINTHIAN AVE,421633,10,39.970622330428526,-75.17074197620049
2000,PARRISH ST,421634,2,39.97030483460436,-75.17048223935517
2000,POPLAR ST,421575,2,39.97170122819591,-75.17165728561973
800,N 21ST ST,420235,16,39.97110140382565,-75.17213375470268
2100,POPLAR ST,421574,2,39.97178771354619,-75.17232797986905
800,N BEECHWOOD ST,420233,26,39.97118833883785,-75.17280697703642
2200,BROWN ST,420259,3,39.9696254311997,-75.17411159399555
2100,POPLAR ST,420200,3,39.971869284499554,-75.17300244910555
2200,POPLAR ST,420195,2,39.97197506136068,-75.17385649544234
800,N 23RD ST,420208,5,39.97182397500725,-75.17441750164257
800,N 23RD ST,420219,4,39.9714375508931,-75.17449865114773
800,N 23RD ST,420226,4,39.97104962421223,-75.17458611949851
2200,MYRTLE ST,420224,4,39.971204610733594,-75.1740251092083
2200,OGDEN ST,420211,6,39.97154112733935,-75.17395571382545
800,N 22ND ST,420223,3,39.97130818491426,-75.1734821718555
800,N 22ND ST,420210,6,39.97169221143693,-75.17339470893383
800,N 23RD ST,420254,5,39.97027380407362,-75.17475668160891
2200,BROWN ST,420256,1,39.96968634712061,-75.17461993816471
2300,PARRISH ST,421764,4,39.970862122380325,-75.1749181261988
2300,POPLAR ST,420191,1,39.97213867108109,-75.17515832377948
800,JUDSON ST,421761,2,39.971503795245795,-75.17507100013955
800,N 21ST ST,420265,15,39.969941743475786,-75.1723836631495
800,N BEECHWOOD ST,420263,6,39.970028370850116,-75.17305973037962
2300,POPLAR ST,420187,1,39.972203740100774,-75.17566012199718
800,N 24TH ST,421758,9,39.97162924380576,-75.17608446556002
800,N 24TH ST,421759,8,39.97046847730079,-75.1763404887205
1800,CARLTON ST,420714,12,39.96004162686085,-75.16932463611644
300,N 19TH ST,420705,1,39.96037328911452,-75.17005474824282
400,N 20TH ST,422068,3,39.961726358848786,-75.17137955377953
1800,CALLOWHILL ST,422343,2,39.96050815582248,-75.16921823964651
1500,RACE ST,420849,1,39.95655578130974,-75.16524396696687
100,N WOODSTOCK ST,421423,1,39.957066016670304,-75.1730726210661
2000,CHERRY ST,420857,3,39.956654603907246,-75.17348287986411
100,N LAMBERT ST,421424,4,39.95714273688035,-75.17369491281985
1600,MARKET ST,421332,2,39.95288660177964,-75.16765263823929
1800,JOHN F KENNEDY BLVD,421373,2,39.954296826184944,-75.17057994096903
1900,JOHN F KENNEDY BLVD,421374,2,39.95447584258937,-75.17218750420132
2000,CHERRY ST,420850,2,39.95673210235323,-75.1741172952293
800,N BUCKNELL ST,421755,13,39.9715586796738,-75.17550689505865
2400,PEROT ST,422117,13,39.96813813024417,-75.17766502042491
2400,OLIVE ST,422118,10,39.96782718267617,-75.17772987872922
2300,ASPEN ST,421772,3,39.968598761743024,-75.17588891194941
700,N BUCKNELL ST,421757,12,39.96923642236657,-75.17599308334465
700,JUDSON ST,421763,1,39.96917787526414,-75.17553479026053
2300,ASPEN ST,421773,4,39.96853649271238,-75.17539864462914
700,N 23RD ST,421769,15,39.969112067756996,-75.17500398592446
2400,ASPEN ST,421729,7,39.96873572820358,-75.17702349009141
2300,ASPEN ST,421771,3,39.968664302873606,-75.1764207535611
700,N 24TH ST,421760,15,39.96930974436205,-75.17659387792328
700,N 24TH ST,421777,2,39.96856579052512,-75.17675720408191
700,N CROSKEY ST,421770,8,39.969048213994874,-75.17450220948129
2200,ASPEN ST,421775,1,39.96840089005842,-75.17429740625035
2400,MEREDITH ST,421739,17,39.96844355025788,-75.17760109452728
700,N 25TH ST,421735,10,39.96919937629307,-75.17825766431817
700,N 24TH ST,421780,1,39.96830414939481,-75.17681293902032
700,N 23RD ST,422206,2,39.96824032239039,-75.17519830624579
700,N 24TH ST,422332,2,39.96801796837543,-75.17687108906884
2400,ASPEN ST,421727,4,39.968861142608844,-75.17805602008427
2400,ASPEN ST,421728,7,39.96880132871808,-75.17755516279537
600,N 22ND ST,421814,1,39.9667332356041,-75.17387816106041
600,N 22ND ST,421811,2,39.96643037885911,-75.17394654014781
2300,FAIRMOUNT AVE,421792,3,39.96736840734287,-75.17620504175402
2200,FAIRMOUNT AVE,421791,7,39.967339067266636,-75.17468959386225
600,N 23RD ST,421810,1,39.96676563875676,-75.17552191961774
2200,WALLACE ST,420372,12,39.96678280413747,-75.17469483964624
2200,MOUNT VERNON ST,420397,5,39.96627939908485,-75.17479647835574
600,N 23RD ST,421786,2,39.96600525400583,-75.17568092676436
2200,GREEN ST,420432,1,39.965524679797426,-75.17496423560962
2300,GREEN ST,421818,6,39.965721939556914,-75.1765607010698
2000,APPLETREE ST,421378,4,39.95625003167122,-75.17360600359568
2000,ARCH ST,422093,7,39.95573399328112,-75.17371019535304
100,N 21ST ST,422165,1,39.956116806534304,-75.17458221601056
2000,MARKET ST,421295,1,39.95369515360465,-75.17413433082517
2100,MARKET ST,421294,2,39.9539135263491,-75.17587384753332
2100,APPLETREE ST,421407,1,39.95645480300036,-75.17508313027011
2100,ARCH ST,421400,4,39.95591647944152,-75.17519710750064
100,N 22ND ST,420838,4,39.957422440132476,-75.17592788137851
100,N 22ND ST,421408,2,39.95650512005562,-75.17613241218079
100,N 21ST ST,421428,4,39.957218785400286,-75.17434266028552
2000,RACE ST,421425,4,39.95762942072581,-75.1739202750432
100,N 23RD ST,421418,1,39.95756396675479,-75.1770797305411
2100,RACE ST,421419,1,39.95782363705556,-75.17542481066255
2100,RACE ST,421420,1,39.95771887879614,-75.17463201161075
100,N VAN PELT ST,421422,7,39.95732276803996,-75.17512204270439
2100,CHERRY ST,420844,4,39.95682267584869,-75.17483268828994
2100,CHERRY ST,422054,1,39.95692157243936,-75.1756251115001
2200,SUMMER ST,422316,1,39.95905208660867,-75.17615711716155
2100,SPRING ST,420794,3,39.95840935045892,-75.17448451390509
200,N VAN PELT ST,421421,1,39.95811554054955,-75.17494810107932
2100,SPRING ST,420788,3,39.958522900640084,-75.17537177758523
200,N 22ND ST,420783,1,39.95876790257065,-75.1756130195603
200,N 23RD ST,422124,3,39.958548158629476,-75.17684787838053
2400,BROWN ST,421742,4,39.97001677958628,-75.17728691352508
800,N STILLMAN ST,421710,12,39.97074055322538,-75.1784912814911
800,N 25TH ST,421733,17,39.970669417425015,-75.17793337543992
2400,BROWN ST,420245,4,39.97008139009909,-75.17779285590778
2500,BROWN ST,421721,4,39.97015576237532,-75.17833332068301
2500,PARRISH ST,421687,1,39.9713186415567,-75.17860873068194
800,N STILLMAN ST,421709,6,39.97190501147244,-75.17824228977784
800,N 26TH ST,421712,12,39.97203227480715,-75.17927459836855
800,N 26TH ST,421831,4,39.97103900684672,-75.17948771182259
800,N BAMBREY ST,421707,8,39.970967805076725,-75.17892712442
800,N BAILEY ST,421706,6,39.972079052092305,-75.17963302371064
2400,POPLAR ST,420182,1,39.97235170577004,-75.17678765292496
2400,POPLAR ST,420179,1,39.972415111132385,-75.17728557517034
800,N 25TH ST,421744,16,39.97183183168217,-75.1776743981705
700,N 26TH ST,421833,1,39.97007069258627,-75.17970502973017
2500,BROWN ST,421703,11,39.97025403412852,-75.17913078585626
700,N 25TH ST,421734,10,39.969814524018176,-75.17812540487327
2500,SWAIN ST,421713,13,39.96960443191462,-75.1789850553278
2300,BROWN ST,420249,2,39.969881864490006,-75.176166205102
2300,BROWN ST,420250,5,39.96981553622519,-75.1756389603904
800,JUDSON ST,421762,1,39.970341768568886,-75.17530157682738
2300,BROWN ST,420255,2,39.969753451693265,-75.17514013011973
800,N BUCKNELL ST,421756,11,39.97039757141129,-75.17575695444634
2300,PARRISH ST,421751,2,39.97098418396108,-75.17593123705853
2300,PARRISH ST,421752,5,39.97092380409326,-75.17541956890716
1700,WALLACE ST,420404,13,39.96586132213149,-75.1664393119177
600,N 15TH ST,422107,1,39.9668077821064,-75.16219446278183
1500,FAIRMOUNT AVE,421447,4,39.967115271767966,-75.16293598503933
600,N SYDENHAM ST,421434,1,39.96636823482634,-75.16322137295863
1500,NORTH ST,421431,1,39.966044891949686,-75.16283032023361
600,N 15TH ST,422004,2,39.96568325540436,-75.16244218646543
1500,MOUNT VERNON ST,420459,3,39.96479380523053,-75.16344030988927
600,N 17TH ST,420438,2,39.96542092288723,-75.16573427190473
1600,MOUNT VERNON ST,420448,2,39.964987239435075,-75.16502229800024
500,N 16TH ST,420538,1,39.963879384211715,-75.16444506671121
1700,MOUNT VERNON ST,420439,4,39.965179936520705,-75.16659641601765
1600,BRANDYWINE ST,420539,1,39.9636479976855,-75.16531118448762
600,N 18TH ST,421443,2,39.96562033047144,-75.16730145911781
1600,GREEN ST,420496,4,39.96430241122823,-75.16516077982439
1700,GREEN ST,420486,8,39.964500933986024,-75.16673267250661
500,N 17TH ST,420526,2,39.96407101930321,-75.16602690055552
1800,GREEN ST,420475,5,39.96469751610686,-75.16831274558109
500,N 19TH ST,420487,1,39.964609217261014,-75.16914307735618
500,N 18TH ST,420514,1,39.96427202541968,-75.1676005655569
1700,BRANDYWINE ST,420527,1,39.96384211607155,-75.16689479049249
600,N 21ST ST,421803,2,39.96627932296594,-75.17233323011071
2000,WALLACE ST,420387,9,39.966471755304525,-75.17131906238507
1900,WALLACE ST,420392,4,39.966254624768496,-75.16958774182702
2000,NORTH ST,420366,4,39.966792783012075,-75.17124722286651
2000,FAIRMOUNT AVE,421788,1,39.967264308981065,-75.17047977874633
2000,FAIRMOUNT AVE,421789,3,39.96727658255308,-75.1710633411953
1900,FAIRMOUNT AVE,421451,1,39.967252303099656,-75.1697763482264
2000,FAIRMOUNT AVE,421790,1,39.96728903216938,-75.17172864865262
2200,FAIRMOUNT AVE,421795,1,39.9673182939141,-75.17386984700315
2100,WALLACE ST,420374,8,39.9666851199651,-75.1730647316674
1900,FAIRMOUNT AVE,421454,4,39.967240228557245,-75.16897232168533
1800,FAIRMOUNT AVE,421453,4,39.96722034465158,-75.16802706832105
700,CORINTHIAN AVE,421622,20,39.968260640887664,-75.17117269067927
700,N CAPITOL ST,420335,4,39.96821325529387,-75.17057232348778
2000,BROWN ST,420279,4,39.96912389114463,-75.1700719970954
700,N 20TH ST,420334,8,39.968174943551595,-75.1699794581351
1900,BROWN ST,420281,11,39.96904385386116,-75.16938491004794
700,N UBER ST,421510,19,39.96812121237884,-75.16918180561484
1900,BROWN ST,420283,2,39.96894708749227,-75.16859976532923
700,N 19TH ST,421499,2,39.96865434246189,-75.16826240953043
700,N 19TH ST,421500,5,39.96803283179521,-75.16839176978888
1700,VINEYARD ST,421513,1,39.97087750807102,-75.16620675166634
1800,WYLIE ST,421508,3,39.96940818253675,-75.16666613679118
1800,VINEYARD ST,421514,4,39.97057324611123,-75.16677013305402
800,PERKIOMEN ST,420234,5,39.97070560005196,-75.16741987244077
1800,VINEYARD ST,421515,3,39.97021361646518,-75.16742429048503
1200,N BROAD ST,440016,1,39.97280376930542,-75.1591494448639
1400,PARRISH ST,440162,1,39.96905594153028,-75.16039927031905
1500,GREEN ST,420505,9,39.96410639209806,-75.16359027791486
200,S 18TH ST,421196,1,39.9487771499928,-75.17097018654984
1700,SPRUCE ST,421950,1,39.947691656597186,-75.1703990363131
1600,SPRUCE ST,421954,3,39.94752866322101,-75.16910730134849
200,S 22ND ST,422352,1,39.950085843201435,-75.17752079589938
2100,LOCUST ST,421239,1,39.94978912324754,-75.17717314806109
2100,LOCUST ST,421240,2,39.94969224580993,-75.17637888350875
1900,MANNING ST,421951,1,39.9484709630572,-75.17345550784783
2200,LOCUST ST,421238,3,39.949908446682116,-75.17815351945998
2100,SPRUCE ST,421935,1,39.94857427731956,-75.17744436376647
2000,RITTENHOUSE SQ,422084,5,39.94890914616795,-75.17515798606628
1900,SPRUCE ST,421934,4,39.948083783300106,-75.17353831306937
2000,SPRUCE ST,421937,5,39.94830543949744,-75.17528391102984
2100,SPRUCE ST,421936,3,39.94847656409347,-75.17664249444883
1900,RITTENHOUSE SQ,421215,1,39.94886945173954,-75.17363129486364
2200,MANNING ST,421940,1,39.94905573019205,-75.17833813164886
200,S 23RD ST,421249,2,39.94924863818304,-75.17889081982808
2200,RITTENHOUSE SQ,421252,5,39.9492981042525,-75.17828471865825
200,S 23RD ST,421247,1,39.94980193303926,-75.17877205652434
2200,SPRUCE ST,421978,2,39.94868936597533,-75.17842160510776
200,S VAN PELT ST,422086,5,39.94913529946979,-75.17690684477554
200,S 21ST ST,422085,2,39.948724540424884,-75.17617967830759
2000,LOCUST ST,421216,5,39.94954855460681,-75.17523738323337
200,S 21ST ST,422349,2,39.94917596849323,-75.17608619225513
200,S 21ST ST,421230,1,39.94980853854156,-75.17594956808475
200,S 21ST ST,421229,1,39.95004227587703,-75.17589773864631
1800,SPRUCE ST,421949,6,39.94788695023784,-75.17196657795758
2200,WALNUT ST,421236,3,39.95104391339115,-75.17790385536189
2300,SANSOM ST,421264,1,39.95191264480083,-75.17911714463443
2100,WALNUT ST,421237,1,39.950926552078634,-75.17692330934923
2300,SPRUCE ST,421977,5,39.94882046243108,-75.17951029221302
200,S 24TH ST,421257,3,39.950463930090926,-75.17968389967334
200,S BONSALL ST,421254,7,39.950399463154014,-75.17916881979797
2300,LOCUST ST,421255,1,39.950081185372134,-75.17949924082033
2300,LOCUST ST,421256,3,39.950014825831175,-75.1789849836722
800,N BAMBREY ST,421711,21,39.971964330357636,-75.17871128222174
2500,POPLAR ST,420170,1,39.972550699689855,-75.17834483875446
2500,POPLAR ST,420168,3,39.972617290961836,-75.17886212281368
1200,N 25TH ST,420078,8,39.97492645173313,-75.17700557442022
2500,W THOMPSON ST,420020,6,39.9755721749365,-75.17731567347174
1200,W COLLEGE AVE,421656,1,39.974943771621106,-75.1778309205767
2500,W THOMPSON ST,420015,5,39.97567123855171,-75.17813696143409
900,N 26TH ST,420164,2,39.97331258142835,-75.17900253524337
900,W COLLEGE AVE,420171,1,39.973165311774395,-75.17786518878007
2600,POPLAR ST,420161,2,39.97272130014563,-75.1797165702739
1200,N TANEY ST,421652,3,39.974699639193,-75.17950906720557
2700,W GIRARD AVE,420090,3,39.97427163871785,-75.18114806317433
2700,POPLAR ST,421061,6,39.97289057778274,-75.18108509076431
2700,POPLAR ST,421060,5,39.9729748000332,-75.18179455327832
2700,CAMBRIDGE ST,420131,8,39.973558820361504,-75.18130548465588
2700,W HARPER ST,422184,1,39.973854187900606,-75.18124446461105
900,N BAMBREY ST,420167,6,39.97324334908074,-75.1784515152748
900,N TANEY ST,420158,1,39.97341436922612,-75.17979281775814
1200,N 27TH ST,420071,1,39.97489048441254,-75.18028164402511
2700,W CABOT ST,421642,8,39.975547303871764,-75.18087062401578
1200,N 28TH ST,420040,4,39.975303220787815,-75.18165028127541
2700,W STILES ST,421650,2,39.97509699884287,-75.1814550626202
1200,N 28TH ST,420059,2,39.97489273575826,-75.18174666245721
2800,W STILES ST,421090,5,39.97511231167841,-75.18202049986589
2400,MANNING ST,421939,1,39.94932171446551,-75.1805045244142
200,S 25TH ST,421260,1,39.949813160532706,-75.1809673911829
200,S 25TH ST,421945,2,39.94920435720022,-75.18110024507483
2400,SPRUCE ST,421976,5,39.948949586899616,-75.18057970882768
100,N MOLE ST,421396,3,39.95613435337393,-75.16560121553579
100,N 15TH ST,421349,1,39.95508803630055,-75.16474394622611
1800,MARKET ST,421317,2,39.9532790528745,-75.17080338757548
1600,SANSOM ST,421140,1,39.950613575262885,-75.16814362559742
100,S 15TH ST,421150,1,39.950841597964796,-75.16566534063523
1800,WALNUT ST,421207,1,39.95024403831636,-75.17145823349524
2000,WALNUT ST,421212,1,39.95065982319188,-75.1747777342675
1700,MORAVIAN ST,421181,1,39.950484632041075,-75.1697886330543
1700,SANSOM ST,421302,1,39.95080954340456,-75.1697164121866
1800,CHESTNUT ST,421307,1,39.9517669261232,-75.17112767513369
1700,CHESTNUT ST,421308,3,39.95157287229523,-75.16955346626949
100,S 19TH ST,421997,1,39.95096701973041,-75.1721143455617
100,S 20TH ST,421244,1,39.950762253660194,-75.17377011959006
1900,SANSOM ST,421300,1,39.95120324957381,-75.17287164235307
2000,SANSOM ST,421272,1,39.95141828549745,-75.17461371322531
3200,HAMILTON ST,421862,5,39.96241981782352,-75.18907965275378
400,N 33RD ST,421858,2,39.96271703836562,-75.18987315138112
3200,SPRING GARDEN ST,421845,1,39.96317478449444,-75.18921467171215
3300,SPRING GARDEN ST,420614,5,39.96301179179137,-75.19066665367103
400,N 33RD ST,421859,2,39.961973670782214,-75.1897392403579
3200,BARING ST,421870,1,39.96168975203482,-75.1889489905073
3300,BARING ST,421871,5,39.96152762453171,-75.19039635884444
400,N NAPA ST,421842,1,39.962927415964465,-75.18795897797978
400,N 34TH ST,420631,1,39.962557628363854,-75.19132264024367
500,N 34TH ST,422858,4,39.96322188039988,-75.19144510486156
3300,HAVERFORD AVE,421855,5,39.9641425538002,-75.19088677329835
3300,BRANDYWINE ST,421846,5,39.96359184784823,-75.19077521012525
500,N 33RD ST,421857,2,39.96338175469783,-75.18999675676771
500,N 33RD ST,421856,4,39.96394803803678,-75.19011021104417
3200,HAVERFORD AVE,421854,3,39.96425043391791,-75.18991562516136
500,N DOUGLAS ST,421841,7,39.96400452131847,-75.18961014915384
3200,HAVERFORD AVE,421853,4,39.96429926939589,-75.18944519035104
500,N 32ND ST,421872,3,39.96354719296802,-75.18854523598203
3100,BRANDYWINE ST,421847,4,39.96388885249216,-75.18807790918855
3200,BRANDYWINE ST,421848,1,39.963807711471595,-75.18885944332146
500,N NATRONA ST,421840,6,39.9640504193525,-75.18917189824896
500,N 32ND ST,421110,4,39.96410813872664,-75.18865619245035
3200,HAVERFORD AVE,421852,1,39.964350847159,-75.18896864803325
3100,HAVERFORD AVE,421851,12,39.96443759704704,-75.18818441508871
600,N 33RD ST,421112,8,39.9645241309353,-75.19021791010309
600,N 33RD ST,421111,2,39.965111641609965,-75.19032198994537
3200,MOUNT VERNON ST,421114,2,39.964903172738104,-75.18954687722743
600,N 32ND ST,421109,6,39.964681051759946,-75.18876804731268
600,N 32ND ST,421108,7,39.96526804183106,-75.18887686751603
1300,N TANEY ST,421663,2,39.97646425047681,-75.17923530024089
2600,W THOMPSON ST,421660,6,39.975765042345515,-75.17886458539252
1200,N 27TH ST,420017,1,39.97576953416188,-75.18009181587382
2600,W THOMPSON ST,421661,2,39.97588269181708,-75.17971766035905
300,S 25TH ST,322611,1,39.94813956503093,-75.18133294545623
2400,PANAMA ST,320804,4,39.94790560280205,-75.18080803002957
2500,PANAMA ST,320806,3,39.94804434036745,-75.18194000189087
2500,LOMBARD ST,320813,1,39.946782286947894,-75.18225820306526
500,S 26TH ST,320838,1,39.94662669586392,-75.18292394032953
500,S TANEY ST,320817,3,39.94669663281994,-75.18351339934199
2600,NAUDAIN ST,320834,2,39.94642907409544,-75.18327066790896
600,S 18TH ST,320893,2,39.943800225073346,-75.17205995452869
1700,BAINBRIDGE ST,320886,10,39.94351783979289,-75.17156842306441
700,SHIRLEY ST,422260,1,39.968027791687085,-75.16791394986925
1800,FRANCIS ST,421505,4,39.96784282611282,-75.1671664227759
200,S VAN PELT ST,421223,2,39.94999129463305,-75.17671950059126
2000,LATIMER ST,422968,1,39.94923784767636,-75.1753448549378
3000,W CABOT ST,422919,1,39.97617552662267,-75.18508223299995
3000,W HARPER ST,422016,1,39.97436616181171,-75.18584035824176
100,N SHEDWICK ST,422272,1,39.95793233038469,-75.19167652774438
1300,N 22ND ST,420022,1,39.97559337370104,-75.17194972005537
600,N 17TH ST,421439,2,39.96656891567788,-75.1654745294478
800,CORINTHIAN AVE,421621,18,39.969789623194,-75.17090019109554
1700,WYLIE ST,421542,3,39.970247783334315,-75.16511998148597
1600,RIDGE AVE,421539,2,39.970303104572814,-75.16457195227832
1800,POPLAR ST,421581,3,39.971158102419125,-75.16722003701531
1300,N 17TH ST,420063,1,39.9743801013602,-75.16377667431719
2100,PEMBERTON ST,322893,11,39.94382653530207,-75.1780678500148
700,S 22ND ST,321039,3,39.9431924402348,-75.17903033505026
2100,CATHARINE ST,321475,20,39.942335230859285,-75.17839345867033
2200,SOUTH ST,320841,1,39.94533241594466,-75.17899620337542
1900,CHESTNUT ST,421309,1,39.95196351683525,-75.17270536431631
0,S 19TH ST,421305,1,39.952560370080896,-75.17176241168904
2000,CHESTNUT ST,422089,3,39.952181104451995,-75.17445115536982
1900,POPLAR ST,421580,3,39.97126987765738,-75.16809246946191
1800,POPLAR ST,421582,3,39.97104630407918,-75.16636164202704
900,N 20TH ST,421614,1,39.972135928005,-75.16911445132841
900,CORINTHIAN AVE,421619,1,39.971736157101624,-75.17052927270038
2000,W GIRARD AVE,421600,4,39.972795836788755,-75.16964952978451
2000,HAMILTON ST,420618,2,39.96238674785753,-75.17222616940572
